,1-grams,Count,2-grams,Count,3-grams,Count
0,"(#gopdebate,)",4318,"(🇺🇸, #gopdebate)",985,"(debate, 🇺🇸, #gopdebate)",153
1,"(?,)",1602,"(fox, news)",605,"(fair, &, balanced)",143
2,"(#gopdebates,)",1314,"(last, night)",384,"(last, nights, #gopdebate)",140
3,"(🇺🇸,)",1225,"(?, #gopdebate)",266,"(music, hear, dont)",127
4,"(trump,)",1161,"(jeb, bush)",228,"(reminds, elevator, music)",127
5,"(fox,)",969,"(donald, trump)",221,"(bush, reminds, elevator)",127
6,"(!,)",923,"(chris, wallace)",220,"(listen, 🇺🇸, #gopdebate)",127
7,"(@realdonaldtrump,)",764,"(last, nights)",213,"(jeb, bush, reminds)",127
8,"(&,)",757,"(#gopdebate, #gopdebates)",173,"(dont, listen, 🇺🇸)",127
9,"(debate,)",744,"(debate, 🇺🇸)",153,"(hear, dont, listen)",127
