,1-grams,Count,2-grams,Count,3-grams,Count
0,"(#gopdebate,)",940,"(last, night)",105,"(last, nights, #gopdebate)",53
1,"(?,)",348,"(last, nights)",88,"(#gopdebate, last, night)",38
2,"(#gopdebates,)",240,"(🇺🇸, #gopdebate)",85,"(job, get, rid)",28
3,"(last,)",224,"(nights, #gopdebate)",53,"(rubio, 🇺🇸, #gopdebate)",28
4,"(trump,)",219,"(fox, news)",50,"(expose, set, job)",28
5,"(!,)",184,"(#gopdebate, last)",47,"(cruz, trump, need)",28
6,"(debate,)",164,"(donald, trump)",35,"(think, cruz, trump)",28
7,"(&,)",122,"(#gopdebate, ?)",32,"(together, expose, set)",28
8,"(night,)",122,"(gop, debate)",32,"(rid, bush, rubio)",28
9,"(candidates,)",112,"(?, #gopdebate)",30,"(need, band, together)",28
