,1-grams,Count,2-grams,Count,3-grams,Count
0,"(#gopdebate,)",764,"(🇺🇸, #gopdebate)",197,"(@realdonaldtrump, s, ratings)",58
1,"(trump,)",279,"(fox, news)",91,"(thanks, fox, news)",55
2,"(!,)",235,"(last, night)",80,"(fox, news, youre)",55
3,"(@realdonaldtrump,)",227,"(@realdonaldtrump, s)",60,"(youre, raising, @realdonaldtrump)",55
4,"(🇺🇸,)",220,"(s, ratings)",58,"(news, youre, raising)",55
5,"(#gopdebates,)",212,"(youre, raising)",55,"(raising, @realdonaldtrump, s)",55
6,"(debate,)",144,"(thanks, fox)",55,"(ratings, 🇺🇸, #gopdebate)",54
7,"(last,)",132,"(raising, @realdonaldtrump)",55,"(s, ratings, 🇺🇸)",54
8,"(&,)",115,"(news, youre)",55,"(set, job, get)",50
9,"(fox,)",110,"(ratings, 🇺🇸)",54,"(job, get, rid)",50
